Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
2,4.9,3.0,1.4,0.2,0
5,5.0,3.6,1.4,0.2,0
6,5.4,3.9,1.7,0.4,0
7,4.6,3.4,1.4,0.3,0
8,5.0,3.4,1.5,0.2,0
9,4.4,2.9,1.4,0.2,0
10,4.9,3.1,1.5,0.1,0
12,4.8,3.4,1.6,0.2,0
13,4.8,3.0,1.4,0.1,0
15,5.8,4.0,1.2,0.2,0
17,5.4,3.9,1.3,0.4,0
18,5.1,3.5,1.4,0.3,0
23,4.6,3.6,1.0,0.2,0
25,4.8,3.4,1.9,0.2,0
26,5.0,3.0,1.6,0.2,0
29,5.2,3.4,1.4,0.2,0
32,5.4,3.4,1.5,0.4,0
33,5.2,4.1,1.5,0.1,0
34,5.5,4.2,1.4,0.2,0
36,5.0,3.2,1.2,0.2,0
37,5.5,3.5,1.3,0.2,0
40,5.1,3.4,1.5,0.2,0
47,5.1,3.8,1.6,0.2,0
51,7.0,3.2,4.7,1.4,1
53,6.9,3.1,4.9,1.5,1
54,5.5,2.3,4.0,1.3,1
59,6.6,2.9,4.6,1.3,1
60,5.2,2.7,3.9,1.4,1
63,6.0,2.2,4.0,1.0,1
64,6.1,2.9,4.7,1.4,1
65,5.6,2.9,3.6,1.3,1
66,6.7,3.1,4.4,1.4,1
70,5.6,2.5,3.9,1.1,1
72,6.1,2.8,4.0,1.3,1
73,6.3,2.5,4.9,1.5,1
75,6.4,2.9,4.3,1.3,1
76,6.6,3.0,4.4,1.4,1
77,6.8,2.8,4.8,1.4,1
78,6.7,3.0,5.0,1.7,1
79,6.0,2.9,4.5,1.5,1
81,5.5,2.4,3.8,1.1,1
82,5.5,2.4,3.7,1.0,1
85,5.4,3.0,4.5,1.5,1
87,6.7,3.1,4.7,1.5,1
88,6.3,2.3,4.4,1.3,1
90,5.5,2.5,4.0,1.3,1
92,6.1,3.0,4.6,1.4,1
93,5.8,2.6,4.0,1.2,1
95,5.6,2.7,4.2,1.3,1
96,5.7,3.0,4.2,1.2,1
98,6.2,2.9,4.3,1.3,1
100,5.7,2.8,4.1,1.3,1
102,5.8,2.7,5.1,1.9,2
104,6.3,2.9,5.6,1.8,2
105,6.5,3.0,5.8,2.2,2
106,7.6,3.0,6.6,2.1,2
110,7.2,3.6,6.1,2.5,2
113,6.8,3.0,5.5,2.1,2
114,5.7,2.5,5.0,2.0,2
115,5.8,2.8,5.1,2.4,2
117,6.5,3.0,5.5,1.8,2
118,7.7,3.8,6.7,2.2,2
119,7.7,2.6,6.9,2.3,2
122,5.6,2.8,4.9,2.0,2
125,6.7,3.3,5.7,2.1,2
127,6.2,2.8,4.8,1.8,2
128,6.1,3.0,4.9,1.8,2
131,7.4,2.8,6.1,1.9,2
132,7.9,3.8,6.4,2.0,2
136,7.7,3.0,6.1,2.3,2
138,6.4,3.1,5.5,1.8,2
142,6.9,3.1,5.1,2.3,2
144,6.8,3.2,5.9,2.3,2
146,6.7,3.0,5.2,2.3,2
147,6.3,2.5,5.0,1.9,2
150,5.9,3.0,5.1,1.8,2
